mukey,n
105699,9
105705,22
105712,10
105716,34
105720,30
105722,3
105724,7
105727,22
105731,14
159588,64
159589,592
159590,67
159591,22
159592,14
159593,5
159594,155
159595,176
159596,133
159597,59
159598,294
159599,30
159600,8
159601,80
159602,219
159603,125
159604,158
159605,27
159606,81
159607,81
159608,96
159609,142
159610,139
159611,226
159612,1056
159613,75
159614,49
159615,51
159616,112
159617,350
159618,262
159619,63
159620,35
159621,11
159622,130
159623,66
159624,22
159625,141
159626,39
159627,105
159628,24
159629,232
159630,111
159631,341
159632,282
159633,92
159634,1
159635,101
159636,148
159637,7
159638,12
159640,42
159641,8
159642,17
159643,1
159644,7
159645,4
159646,1
159647,32
159648,80
159649,121
159650,23
159651,16
159652,8
159653,4
159654,1
159655,35
159656,4
159657,59
159658,79
159659,26
159660,213
159661,10
159662,25
159663,93
159664,43
159665,170
159666,6
159667,10
159668,2
159669,74
159670,16
159671,11
159672,44
159673,42
159674,158
159675,757
159676,96
159677,1
159679,28
159680,147
159681,1
159682,1
159683,3
159684,11
159685,89
159686,97
159687,18
159688,13
159689,39
159690,19
159691,373
159693,326
159694,95
159695,40
159696,5
159697,40
159698,19
159699,28
159700,22
159701,80
159702,40
159703,143
159704,9
159705,10
159706,59
159707,159
159708,76
159709,25
159710,17
159711,15
159712,86
159713,96
159714,31
159715,280
159716,177
159717,18
159718,6
159719,52
159720,6
159721,5
159722,32
159723,10
159724,59
159725,8
159727,5
159728,11
159730,7
159731,69
159732,2
159734,12
159735,6
159736,204
159737,10
159738,45
159739,13
159740,13
159742,170
159743,170
159744,22
159745,33
159746,4
159747,5
159749,6
159751,1
159752,5
159754,11
159755,27
159756,84
159757,25
159758,291
159759,81
159760,3
159761,192
159762,214
159763,215
159764,131
159765,3
159766,261
159767,44
159768,5
159769,1
159770,7
159771,6
159772,1
159773,58
159774,60
159775,20
159777,4
159778,1
159779,9
159780,31
159781,36
159782,5
159783,2
159784,403
159785,14
159786,673
159787,518
159788,19
159789,12
159790,2
159792,158
159793,360
159794,148
159795,2
159796,22
159797,30
159798,18
159799,9
159800,60
159801,1
159802,56
159803,25
159804,10
159806,10
159808,10
159809,4
159810,1
159811,17
159812,20
159813,8
159814,92
159815,30
159816,10
159817,157
159818,17
159819,72
159820,6
159821,6
159822,317
159823,36
159824,38
159825,21
159826,14
159827,7
159828,14
159829,559
159830,2
159831,18
159832,10
159833,33
159834,17
159835,1
159836,33
159837,320
159838,203
159839,71
159840,306
159841,9
159842,9
159843,50
159844,380
159845,90
159846,74
159847,28
159848,15
159849,19
159850,16
159851,22
159852,469
159853,739
159854,21
159855,271
159856,240
159857,462
159858,128
159859,86
159860,8
159861,49
159862,48
159863,16
159864,18
159865,53
159866,1088
159867,11
159868,716
159869,91
159870,36
159871,577
159872,25
159873,262
159874,42
159875,16
159876,18
159877,81
159878,15
159879,12
159880,15
159881,13
159882,157
159883,49
