PRODES_data_year,PRODES_class_id,PRODES_class,PRODES_year_deforest
2020,1,FLORESTA,9999
2020,2,HIDROGRAFIA,0
2020,3,"NAO_FLORESTA",0
2020,4,"NAO_FLORESTA2",0
2020,5,Null,0
2020,6,d2007,2007
2020,7,d2008,2008
2020,8,d2009,2009
2020,9,d2010,2010
2020,10,d2011,2011
2020,11,d2012,2012
2020,12,d2013,2013
2020,13,d2014,2014
2020,14,d2015,2015
2020,15,d2016,2016
2020,16,d2017,2017
2020,17,d2018,2018
2020,18,r2010,0
2020,19,r2011,0
2020,20,r2012,0
2020,21,r2013,0
2020,22,r2014,0
2020,23,r2015,0
2020,24,r2016,0
2020,25,r2017,0
2020,26,r2018,0
2020,27,d2019,2019
2020,28,r2019,0
2020,29,d2020,2020
2020,30,NUVEM,0
2020,31,r2020,0
