PRODES_data_year,PRODES_class_id,PRODES_class,PRODES_year_deforest
2021,1,Floresta,9999
2021,2,Hidrografia,0
2021,3,NaoFloresta,0
2021,4,NaoFloresta2,0
2021,6,d2007,2007
2021,7,d2008,2008
2021,8,d2009,2009
2021,9,d2010,2010
2021,10,d2011,2011
2021,11,d2012,2012
2021,12,d2013,2013
2021,13,d2014,2014
2021,14,d2015,2015
2021,15,d2016,2016
2021,16,d2017,2017
2021,17,d2018,2018
2021,18,r2010,0
2021,19,r2011,0
2021,20,r2012,0
2021,21,r2013,0
2021,22,r2014,0
2021,23,r2015,0
2021,24,r2016,0
2021,25,r2017,0
2021,26,r2018,0
2021,27,d2019,2019
2021,28,r2019,0
2021,29,d2020,2020
2021,31,r2020,0
2021,32,Nuvem2021,0
2021,33,d2021,2021
2021,34,r2021,0
2020,1,FLORESTA,9999
2020,2,HIDROGRAFIA,0
2020,3,"NAO_FLORESTA",0
2020,4,"NAO_FLORESTA2",0
2020,5,Null,0
2020,6,d2007,2007
2020,7,d2008,2008
2020,8,d2009,2009
2020,9,d2010,2010
2020,10,d2011,2011
2020,11,d2012,2012
2020,12,d2013,2013
2020,13,d2014,2014
2020,14,d2015,2015
2020,15,d2016,2016
2020,16,d2017,2017
2020,17,d2018,2018
2020,18,r2010,0
2020,19,r2011,0
2020,20,r2012,0
2020,21,r2013,0
2020,22,r2014,0
2020,23,r2015,0
2020,24,r2016,0
2020,25,r2017,0
2020,26,r2018,0
2020,27,d2019,2019
2020,28,r2019,0
2020,29,d2020,2020
2020,30,NUVEM,0
2020,31,r2020,0
2019,1,FLORESTA,9999
2019,2,HIDROGRAFIA,0
2019,3,"NAO_FLORESTA",0
2019,4,"NAO_FLORESTA2",0
2019,5,NUVEM,0
2019,6,d2007,2007
2019,7,d2008,2008
2019,8,d2009,2009
2019,9,d2010,2010
2019,10,d2011,2011
2019,11,d2012,2012
2019,12,d2013,2013
2019,13,d2014,2014
2019,14,d2015,2015
2019,15,d2016,2016
2019,16,d2017,2017
2019,17,d2018,2018
2019,18,r2010,0
2019,19,r2011,0
2019,20,r2012,0
2019,21,r2013,0
2019,22,r2014,0
2019,23,r2015,0
2019,24,r2016,0
2019,25,r2017,0
2019,26,r2018,0
2019,27,d2019,2019
2019,28,r2019,0
2018,1,FLORESTA,9999
2018,2,HIDROGRAFIA,0
2018,3,"NAO_FLORESTA",0
2018,4,"NAO_FLORESTA2",0
2018,5,NUVEM,0
2018,6,d2007,2007
2018,7,d2008,2008
2018,8,d2009,2009
2018,9,d2010,2010
2018,10,d2011,2011
2018,11,d2012,2012
2018,12,d2013,2013
2018,13,d2014,2014
2018,14,d2015,2015
2018,15,d2016,2016
2018,16,d2017,2017
2018,17,d2018,2018
2018,18,r2010,0
2018,19,r2011,0
2018,20,r2012,0
2018,21,r2013,0
2018,22,r2014,0
2018,23,r2015,0
2018,24,r2016,0
2018,25,r2017,0
2018,26,r2018,0
2017,1,FLORESTA,9999
2017,2,HIDROGRAFIA,0
2017,3,"NAO_FLORESTA",0
2017,4,"NAO_FLORESTA2",0
2017,5,NUVEM,0
2017,6,d2007,2007
2017,7,d2008,2008
2017,8,d2009,2009
2017,9,d2010,2010
2017,10,d2011,2011
2017,11,d2012,2012
2017,12,d2013,2013
2017,13,d2014,2014
2017,14,d2015,2015
2017,15,d2016,2016
2017,16,d2017,2017
2017,17,r2010,0
2017,18,r2011,0
2017,19,r2012,0
2017,20,r2013,0
2017,21,r2014,0
2017,22,r2015,0
2017,23,r2016,0
2017,24,r2017,0
2014,1,d2007,2007
2014,2,"NAO_FLORESTA",0
2014,3,d2008,2008
2014,4,d2006,2006
2014,5,FLORESTA,9999
2014,6,NUVEM,0
2014,7,d1997,1997
2014,8,d2009,2009
2014,9,"NAO_FLORESTA2",0
2014,10,d2000,2000
2014,11,d2001,2001
2014,12,d2002,2002
2014,13,d2013,2013
2014,14,d2003,2003
2014,15,d2012,2012
2014,16,d2010,2010
2014,17,RESIDUO,0
2014,18,HIDROGRAFIA,0
2014,19,d2004,2004
2014,20,d1999,1999
2014,21,d2014,2014
2014,22,d2011,2011
2014,23,d2005,2005
2014,24,DSF_ANT,0
