Attribute,Pixel_Value
Fill,1
Clear,"322, 386, 834, 898, 1346"
Water,"324, 388, 836, 900, 1348"
Cloud Shadow,"328, 392, 840, 904, 1350"
Snow/Ice,"336, 368, 400, 432, 848, 880, 912, 944, 1352"
Cloud,"352, 368, 416, 432, 480, 864, 880, 928, 944, 992"
Low confidence cloud,"322, 324, 328, 336, 352, 368, 834, 836, 840, 848, 864, 880"
Medium confidence cloud,"386, 388, 392, 400, 416, 432, 900, 904, 928, 944"
High confidence cloud,"480, 992"
Low confidence cirrus,"322, 324, 328, 336, 352, 368, 386, 388, 392, 400, 416, 432, 480"
High confidence cirrus,"834, 836, 840, 848, 864, 880, 898, 900, 904, 912, 928, 944, 992"
Terrain occlusion,"1346, 1348, 1350, 1352"
